original_index,original_file,new_file,width,height,aspect_ratio,original_size_kb,jpg_size_kb
21,"ChatGPT Image Jun 3, 2026 at 11_31_57 AM.png",acai-or-smoothie-bowl.jpg,1672,941,1672:941,2048.0,192.7
22,"ChatGPT Image Jun 3, 2026 at 11_32_01 AM.png",sweet-bagel.jpg,1672,941,1672:941,2090.6,200.7
23,"ChatGPT Image Jun 3, 2026 at 11_35_05 AM.png",guacamole-and-pico-de-gallo.jpg,1672,941,1672:941,2362.2,260.2
24,"ChatGPT Image Jun 3, 2026 at 11_35_13 AM.png",cheese-and-arrachera-nachos.jpg,1672,941,1672:941,2574.6,304.0
25,"ChatGPT Image Jun 3, 2026 at 11_35_18 AM.png",grilled-vegetables.jpg,1672,941,1672:941,2531.2,288.0
26,"ChatGPT Image Jun 3, 2026 at 11_35_21 AM.png",mexican-rice.jpg,1672,941,1672:941,2282.9,246.3
27,"ChatGPT Image Jun 3, 2026 at 11_35_24 AM.png",refried-or-whole-beans.jpg,1672,941,1672:941,2078.1,195.4
28,"ChatGPT Image Jun 3, 2026 at 11_35_27 AM.png",french-fries.jpg,1672,941,1672:941,2078.6,190.4
29,"ChatGPT Image Jun 3, 2026 at 11_35_31 AM.png",seasonal-vegetable-crudites-with-house-dip.jpg,1672,941,1672:941,2506.1,286.1
30,"ChatGPT Image Jun 3, 2026 at 11_38_07 AM.png",caesar-salad.jpg,1672,941,1672:941,2291.5,234.0
31,"ChatGPT Image Jun 3, 2026 at 11_38_10 AM.png",caprese-salad.jpg,1672,941,1672:941,2080.7,195.2
32,"ChatGPT Image Jun 3, 2026 at 11_38_14 AM.png",mixed-green-salad.jpg,1672,941,1672:941,2314.8,244.6
33,"ChatGPT Image Jun 3, 2026 at 11_38_17 AM.png",citrus-salad.jpg,1672,941,1672:941,2241.6,224.0
34,"ChatGPT Image Jun 3, 2026 at 11_38_20 AM.png",greek-salad-with-grilled-shrimp.jpg,1672,941,1672:941,2281.4,238.1
35,"ChatGPT Image Jun 3, 2026 at 11_46_11 AM.png",vallarta-style-fish-ceviche.jpg,1672,941,1672:941,2692.3,306.4
36,"ChatGPT Image Jun 3, 2026 at 11_46_13 AM.png",shrimp-ceviche.jpg,1672,941,1672:941,2159.3,218.3
37,"ChatGPT Image Jun 3, 2026 at 11_46_28 AM.png",green-or-black-aguachile.jpg,1672,941,1672:941,2256.8,237.1
38,"ChatGPT Image Jun 3, 2026 at 11_46_35 AM.png",tuna-sashimi.jpg,1672,941,1672:941,1891.4,165.5
39,"ChatGPT Image Jun 3, 2026 at 11_46_39 AM.png",tuna-tostadas.jpg,1672,941,1672:941,2002.2,185.5
40,"ChatGPT Image Jun 3, 2026 at 11_46_44 AM.png",fish-tostadas.jpg,1672,941,1672:941,2259.2,239.4
41,"ChatGPT Image Jun 3, 2026 at 11_48_56 AM.png",baja-fish-or-shrimp-tacos.jpg,1672,941,1672:941,2490.3,278.9
42,"ChatGPT Image Jun 3, 2026 at 11_49_00 AM.png",grilled-fish-tacos.jpg,1672,941,1672:941,2212.0,228.1
43,"ChatGPT Image Jun 3, 2026 at 11_49_05 AM.png",shrimp-gobernador-tacos.jpg,1672,941,1672:941,2439.8,275.5
44,"ChatGPT Image Jun 3, 2026 at 11_49_11 AM.png",mexican-tacos.jpg,1672,941,1672:941,2544.6,295.1
45,"ChatGPT Image Jun 3, 2026 at 11_49_15 AM.png",chicken-tinga-tostadas.jpg,1672,941,1672:941,2220.2,224.7
46,"ChatGPT Image Jun 3, 2026 at 11_49_19 AM.png",fajitas.jpg,1672,941,1672:941,2649.5,318.1
47,"ChatGPT Image Jun 3, 2026 at 11_49_24 AM.png",mexican-bowl.jpg,1672,941,1672:941,2556.8,285.5
48,"ChatGPT Image Jun 3, 2026 at 11_49_28 AM.png",club-sandwich-or-turkey-panini.jpg,1672,941,1672:941,2146.7,216.2
49,"ChatGPT Image Jun 3, 2026 at 11_51_56 AM.png",chicken-mole-enchiladas.jpg,1672,941,1672:941,2178.8,223.0
50,"ChatGPT Image Jun 3, 2026 at 11_52_00 AM.png",mexican-antojitos.jpg,1672,941,1672:941,2649.7,314.4
51,"ChatGPT Image Jun 3, 2026 at 11_52_04 AM.png",cochinita-pibil-tacos.jpg,1672,941,1672:941,2167.2,227.5
52,"ChatGPT Image Jun 3, 2026 at 11_52_08 AM.png",stuffed-poblano-peppers.jpg,1672,941,1672:941,2407.1,273.7
53,"ChatGPT Image Jun 3, 2026 at 11_52_14 AM.png",arrachera-dinner-plate.jpg,1672,941,1672:941,2833.2,353.6
54,"ChatGPT Image Jun 3, 2026 at 11_52_18 AM.png",chicken-in-creamy-poblano-sauce.jpg,1672,941,1672:941,2294.8,242.7
55,"ChatGPT Image Jun 3, 2026 at 11_54_26 AM.png",catch-of-the-day-with-garlic-butter.jpg,1672,941,1672:941,2292.4,252.1
56,"ChatGPT Image Jun 3, 2026 at 11_54_29 AM.png",pescado-a-la-veracruzana.jpg,1672,941,1672:941,2310.9,248.1
57,"ChatGPT Image Jun 3, 2026 at 11_54_33 AM.png",fish-to-taste.jpg,1672,941,1672:941,2234.1,234.9
58,"ChatGPT Image Jun 3, 2026 at 11_54_57 AM.png",shrimp-to-taste.jpg,1672,941,1672:941,2410.1,272.9
59,"ChatGPT Image Jun 3, 2026 at 11_55_04 AM.png",zarandeado-style-seafood.jpg,1672,941,1672:941,2438.5,271.9
60,"ChatGPT Image Jun 3, 2026 at 11_55_08 AM.png",garlic-fish-fillet-or-shrimp.jpg,1672,941,1672:941,2375.3,269.5
61,"ChatGPT Image Jun 3, 2026 at 11_55_14 AM.png",grilled-platter.jpg,1672,941,1672:941,2614.4,308.4
62,"ChatGPT Image Jun 3, 2026 at 11_57_45 AM.png",pasta.jpg,1672,941,1672:941,2004.2,195.5
63,"ChatGPT Image Jun 3, 2026 at 11_57_49 AM.png",seafood-pasta.jpg,1672,941,1672:941,2043.7,197.8
64,"ChatGPT Image Jun 3, 2026 at 11_57_53 AM.png",fajitas-dinner.jpg,1672,941,1672:941,2240.9,250.8
65,"ChatGPT Image Jun 3, 2026 at 11_57_58 AM.png",burgers.jpg,1672,941,1672:941,2294.0,238.3
66,"ChatGPT Image Jun 3, 2026 at 12_00_15 PM.png",chicken-tenders.jpg,1672,941,1672:941,2086.3,208.7
67,"ChatGPT Image Jun 3, 2026 at 12_00_19 PM.png",chicken-nuggets.jpg,1672,941,1672:941,2090.5,200.1
68,"ChatGPT Image Jun 3, 2026 at 12_00_22 PM.png",cheese-quesadillas.jpg,1672,941,1672:941,2056.9,203.3
69,"ChatGPT Image Jun 3, 2026 at 12_00_25 PM.png",french-fries-kids.jpg,1672,941,1672:941,1990.4,189.8
70,"ChatGPT Image Jun 3, 2026 at 12_00_28 PM.png",pasta-with-butter-tomato-sauce-or-alfredo.jpg,1672,941,1672:941,1806.0,151.4
71,"ChatGPT Image Jun 3, 2026 at 12_00_31 PM.png",mini-pancakes.jpg,1672,941,1672:941,1954.9,183.7
72,"ChatGPT Image Jun 3, 2026 at 12_00_34 PM.png",fruit-plate.jpg,1672,941,1672:941,2221.7,224.7
73,"ChatGPT Image Jun 3, 2026 at 12_00_40 PM.png",turkey-and-cheese-wrap.jpg,1672,941,1672:941,1986.2,178.8
74,"ChatGPT Image Jun 3, 2026 at 12_00_46 PM.png",banana-strawberry-and-nutella-wrap.jpg,1672,941,1672:941,2038.2,179.7
75,"ChatGPT Image Jun 3, 2026 at 12_03_49 PM.png",vanilla-flan-with-caramel-sauce.jpg,1672,941,1672:941,1853.5,149.6
76,"ChatGPT Image Jun 3, 2026 at 12_03_53 PM.png",churros-with-chocolate-sauce.jpg,1672,941,1672:941,2248.7,222.0
77,"ChatGPT Image Jun 3, 2026 at 12_03_56 PM.png",crepes-with-cajeta-and-strawberries.jpg,1672,941,1672:941,2354.8,254.0
78,"ChatGPT Image Jun 3, 2026 at 12_04_05 PM.png",brownie-with-vanilla-ice-cream.jpg,1672,941,1672:941,1916.2,167.2
79,"ChatGPT Image Jun 3, 2026 at 12_04_09 PM.png",apple-pie.jpg,1672,941,1672:941,2056.4,198.2
80,"ChatGPT Image Jun 3, 2026 at 12_04_14 PM.png",cheesecake.jpg,1672,941,1672:941,2061.0,185.3
81,"ChatGPT Image Jun 3, 2026 at 12_04_18 PM.png",chocolate-lava-cake.jpg,1672,941,1672:941,2100.5,201.2
82,"ChatGPT Image Jun 3, 2026 at 12_04_23 PM.png",cajeta-lava-cake.jpg,1672,941,1672:941,2162.5,206.5
83,"ChatGPT Image Jun 3, 2026 at 12_04_27 PM.png",premium-assorted-ice-cream.jpg,1672,941,1672:941,2173.7,213.8
